Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C21, C22, C23, C5, C7, C8",0603,8,1µF,
"C10, C19",0603,2,1.5nF,
"C11, C20",0603,2,470pF,
"C12, C14",0603,2,27pF,
"C13, C25",0603,2,10pF,
C15,0603,1,100nF,
C16,CP_Radial_D5.0mm_P2.00mm,1,100µF,
"C17, C6",0603,2,1nF,
"C18, C9",CP_Radial_D5.0mm_P2.00mm,2,10µF,
"C24, C3, C4",0603,3,10µF,
D1,0603,1,"""USB PWR""",
D2,D_SOD-323_HandSoldering,1,B0520WS,
D3,0603,1,"""Signal""",
F1,0805,1,PTC 500mA,
FB1,0603,1,100Ω@100MHz,
"H1, H2",MountingHole_3.2mm_M3,2,MountingHole,
J1,292304,1,USB_B,
J2,KF2510-3P,1,DAC_OUT_L,
J3,KF2510-3P,1,DAC_OUT_R,
Q1,SOT-23,1,BC847,
"R1, R10",0603,2,560Ω,
"R11, R4, R5",0603,3,22Ω,
"R12, R22",0603,2,10Ω,
"R13, R23",0603,2,2kΩ,
"R14, R24",0603,2,1kΩ,
R15,0603,1,1MΩ,
R16,0603,1,10kΩ,
R17,0603,1,1.5kΩ,
"R18, R6",0603,2,5.6kΩ,
"R19, R20, R7, R8",0603,4,6.8kΩ,
R2,0603,1,22kΩ,
"R21, R9",0603,2,100Ω,
R3,0603,1,11kΩ,
U1,SOT-23-5,1,MIC5205YM5,
U2,SOT-23-6,1,USBLC6-2SC6,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,OPA2353UA,
U4,SSOP-28_5.3x10.2mm_P0.65mm,1,PCM2900,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,1,12MHz 18pF,
