Designator,Mid X,Mid Y,Rotation,Layer
C1,126.35,-80.0,0.0,top
C10,137.3425,-94.6,0.0,top
C11,145.65,-102.1,0.0,top
C12,155.075,-73.875,180.0,top
C13,137.3425,-102.1,0.0,top
C14,155.075,-78.825,0.0,top
C15,147.575,-93.925,0.0,top
C16,139.4,-88.2,0.0,top
C17,154.3,-102.1,0.0,top
C18,160.8,-91.7,0.0,top
C19,158.0885,-94.6,180.0,top
C2,126.35,-82.6,0.0,top
C20,149.4625,-102.1,0.0,top
C21,150.85,-73.875,0.0,top
C22,154.975,-82.15,180.0,top
C23,154.95,-83.75,180.0,top
C24,145.45,-87.1,180.0,top
C25,158.0885,-102.1,0.0,top
C3,127.85,-86.15,270.0,top
C4,121.075,-86.1875,270.0,top
C5,140.375,-81.5,180.0,top
C6,141.09,-97.1,180.0,top
C7,140.375,-83.025,0.0,top
C8,140.375,-77.975,180.0,top
C9,160.794888,-84.7,0.0,top
D1,131.075,-77.975,0.0,top
D2,135.325,-85.25,180.0,top
D3,135.35,-77.975,0.0,top
F1,122.1,-80.0,0.0,top
FB1,122.1,-82.6,0.0,top
J1,112.5,-80.375,270.0,top
J2,167.7,-83.1,90.0,top
J3,167.7,-93.4,90.0,top
Q1,135.35,-74.2,180.0,top
R1,131.075,-80.55,0.0,top
R10,135.3275,-80.55,180.0,top
R11,135.325,-87.15,0.0,top
R12,166.2,-88.3,180.0,top
R13,137.3425,-99.6,0.0,top
R14,141.1,-102.1,0.0,top
R15,155.075,-76.55,180.0,top
R16,140.375,-73.875,0.0,top
R17,144.6,-73.875,180.0,top
R18,154.29,-94.6,0.0,top
R19,154.3,-97.1,0.0,top
R2,130.8275,-85.2375,0.0,top
R20,154.3,-99.6,180.0,top
R21,151.2875,-90.7,0.0,top
R22,170.025,-88.3,0.0,top
R23,158.0885,-97.1,180.0,top
R24,158.0885,-99.6,0.0,top
R3,130.8275,-87.1375,180.0,top
R4,122.1,-74.4,0.0,top
R5,122.1,-76.8,0.0,top
R6,141.09,-94.6,180.0,top
R7,137.3425,-97.1,180.0,top
R8,141.09,-99.6,0.0,top
R9,151.3375,-87.1,0.0,top
U1,124.475,-86.1875,0.0,top
U2,126.3625,-75.55,180.0,top
U3,147.575,-97.8,0.0,top
U4,147.730316,-80.527443,0.0,top
Y1,159.55,-75.475,90.0,top
